Week,Cost_Price,Selling_Price,Total_Inventory,Demand
5,1015.44,2572.0,2107,947
6,924.24,1936.48,2107,950
7,958.3199999999999,2514.0,2107,944
8,1119.1200000000001,2561.0,2107,943
9,1116.0,2625.0,2107,953
10,1386.96,2667.0,2107,957
11,1309.92,2720.0,2107,965
12,1234.8000000000002,2732.0,2107,968
13,1494.48,2719.0,2030,974
14,1580.6399999999999,2770.0,2030,976
15,1591.6799999999998,2808.0,2030,974
16,1556.16,2795.0,2030,972
17,1617.84,2780.0,2030,970
18,1741.1999999999998,2835.0,2030,977
19,1794.72,2854.0,2030,980
20,1834.56,2826.0,2030,974
21,1930.56,2759.0,2030,965
22,1936.56,2705.0,2030,958
23,1930.3200000000002,2668.0,2030,952
24,2018.6399999999999,2637.0,2030,947
25,2024.16,2653.0,2030,949
26,1941.84,2669.0,2024,952
27,1931.52,2642.0,2024,949
28,1995.6000000000001,2623.0,2024,946
29,2000.6399999999999,2608.0,2024,943
30,1964.16,2640.0,2024,948
31,2091.84,2627.0,2024,946
32,2088.0,2692.0,2024,954
33,2079.6000000000004,2664.0,2024,950
34,2045.28,2619.0,2024,944
35,1949.04,2577.0,2024,939
36,1888.56,1949.4,2024,938
37,1970.6399999999999,2582.0,2024,941
38,1942.56,2624.0,2024,946
39,1725.3600000000001,2603.0,2037,945
40,1534.32,2633.0,2037,952
41,1612.3200000000002,2720.0,2037,964
42,1676.6399999999999,2725.0,2037,964
43,1671.3600000000001,2716.0,2037,967
44,1409.76,2689.0,2037,963
45,1430.6399999999999,2728.0,2037,964
46,1233.84,2771.0,2037,972
47,1548.48,2078.6,2037,965
48,1182.48,2708.0,2037,964
49,1111.92,2843.0,2037,986
50,1196.16,2869.0,2037,993
51,1255.92,2886.0,2037,998
52,1162.32,2236.68,2037,996
1,1158.48,2976.0,2012,1000
2,849.5999999999999,2983.0,2012,1003
3,1056.96,3016.0,2012,1007
4,1051.92,3010.0,2012,1006
5,1014.48,2989.0,2012,1004
6,873.36,2296.72,2012,1014
7,1376.6399999999999,3045.0,2012,1017
8,1509.6,3065.0,2012,1011
9,1429.92,3288.0,2012,1044
10,1285.44,3459.0,2012,1069
11,1506.24,3488.0,2012,1071
12,1679.28,3473.0,2012,1068
13,1420.08,3524.0,1997,1077
14,1628.16,3622.0,1997,513
15,1710.48,3743.0,1997,530
16,1751.7599999999998,3807.0,1997,544
17,1728.72,3810.0,1997,542
18,1550.6399999999999,3906.0,1997,552
19,1815.3600000000001,3899.0,1997,549
20,1623.12,3907.0,1997,551
21,1865.28,3786.0,1997,533
22,1992.0,3699.0,1997,520
23,1995.12,3648.0,1997,512
24,2073.84,3637.0,1997,510
25,2005.92,3594.0,1997,504
26,2053.2,3524.0,2070,1072
27,2059.92,3480.0,2070,1066
28,2124.96,3575.0,2070,501
29,2058.48,3651.0,2070,512
30,2083.92,3682.0,2070,517
31,2199.6000000000004,3684.0,2070,516
32,2178.2400000000002,3638.0,2070,509
33,2158.56,3554.0,2070,1076
34,2111.04,3523.0,2070,1072
35,2107.92,3533.0,2070,1073
36,1824.0,2694.96,2070,1077
37,1918.56,3526.0,2070,1074
38,1819.1999999999998,3467.0,2070,1066
39,1912.56,3355.0,2070,1050
40,1663.44,3285.0,2045,1042
41,1721.7599999999998,3274.0,2045,1041
42,1529.04,3353.0,2045,1053
43,1597.6799999999998,3372.0,2045,1057
44,1319.52,3332.0,2045,1055
45,1418.6399999999999,3297.0,2045,1045
46,1494.0,3308.0,2045,1046
47,1443.3600000000001,2459.36,2045,1036
48,1173.84,3172.0,2045,1030
49,1054.32,3158.0,2045,1031
50,1239.1200000000001,3159.0,2045,1033
51,1151.04,3112.0,2045,1027
52,1069.1999999999998,2378.04,2045,1024
1,1176.24,3157.0,1910,1026
2,1164.72,3261.0,1910,1041
3,1298.6399999999999,3268.0,1910,1041
4,1302.24,3290.0,1910,1044
5,1357.1999999999998,3360.0,1910,1055
6,1152.48,2590.84,1910,1066
7,1087.68,3510.0,1910,507
8,1374.0,3555.0,1910,504
9,1463.04,3630.0,1910,514
10,1410.24,3669.0,1910,520
11,1553.7599999999998,3734.0,1910,528
12,1582.3200000000002,3787.0,1910,536
13,1622.6399999999999,3845.0,1910,545
14,1690.3200000000002,3891.0,1857,557
15,1657.6799999999998,3891.0,1857,553
16,1602.2400000000002,3877.0,1857,547
17,1613.52,3814.0,1857,538
18,1813.1999999999998,3749.0,1857,528
19,1770.48,3688.0,1857,520
20,1687.92,3630.0,1857,512
21,1853.28,3561.0,1857,501
22,1870.8000000000002,3501.0,1857,1070
23,1879.1999999999998,3452.0,1857,1064
24,1904.3999999999999,3393.0,1857,1055
25,1881.3600000000001,3346.0,1857,1048
26,2037.12,3286.0,1857,1039
27,1957.6799999999998,3227.0,1796,1031
28,1850.88,3256.0,1796,1036
29,1930.08,3311.0,1796,1043
30,1983.84,3407.0,1796,1056
31,2066.64,3417.0,1796,1057
32,2041.1999999999998,3494.0,1796,1068
33,2036.3999999999999,3571.0,1796,501
34,1863.84,3620.0,1796,509
35,1931.7599999999998,3638.0,1796,511
36,2015.04,2834.8,1796,524
37,1799.28,3717.0,1796,524
38,1676.88,3721.0,1796,525
39,1825.92,3666.0,1796,516
40,1645.1999999999998,3617.0,1708,511
41,1511.76,3601.0,1708,510
42,1631.28,3594.0,1708,509
43,1659.84,3506.0,1708,1075
5,1015.44,2572.0,2107,955
6,924.24,1936.48,2107,950
7,958.3199999999999,2514.0,2107,946
8,1119.1200000000001,2561.0,2107,951
9,1116.0,2625.0,2107,961
10,1386.96,2667.0,2107,963
11,1309.92,2720.0,2107,971
12,1234.8000000000002,2732.0,2107,973
13,1494.48,2719.0,2030,971
14,1580.6399999999999,2770.0,2030,977
15,1591.6799999999998,2808.0,2030,982
16,1556.16,2795.0,2030,980
17,1617.84,2780.0,2030,978
18,1741.1999999999998,2835.0,2030,986
19,1794.72,2854.0,2030,987
20,1834.56,2826.0,2030,983
21,1930.56,2759.0,2030,973
22,1936.56,2705.0,2030,967
23,1930.3200000000002,2668.0,2030,961
24,2018.6399999999999,2637.0,2030,956
25,2024.16,2653.0,2030,958
26,1941.84,2669.0,2024,961
27,1931.52,2642.0,2024,958
28,1995.6000000000001,2623.0,2024,954
29,2000.6399999999999,2608.0,2024,952
30,1964.16,2640.0,2024,957
31,2091.84,2627.0,2024,956
32,2088.0,2692.0,2024,963
33,2079.6000000000004,2664.0,2024,961
34,2045.28,2619.0,2024,955
35,1949.04,2577.0,2024,949
36,1888.56,1949.4,2024,947
37,1970.6399999999999,2582.0,2024,948
38,1942.56,2624.0,2024,954
39,1725.3600000000001,2603.0,2037,953
40,1534.32,2633.0,2037,959
41,1612.3200000000002,2720.0,2037,969
42,1676.6399999999999,2725.0,2037,969
43,1671.3600000000001,2716.0,2037,969
44,1409.76,2689.0,2037,967
45,1430.6399999999999,2728.0,2037,971
46,1233.84,2771.0,2037,978
47,1548.48,2078.6,2037,972
48,1182.48,2708.0,2037,970
49,1111.92,2843.0,2037,990
50,1196.16,2869.0,2037,994
51,1255.92,2886.0,2037,999
52,1162.32,2236.68,2037,1001
1,1158.48,2976.0,2012,1007
2,849.5999999999999,2983.0,2012,1009
3,1056.96,3016.0,2012,1013
4,1051.92,3010.0,2012,1012
5,1014.48,2989.0,2012,1011
6,873.36,2296.72,2012,1017
7,1376.6399999999999,3045.0,2012,1017
8,1509.6,3065.0,2012,1018
9,1429.92,3288.0,2012,1052
10,1285.44,3459.0,2012,1075
11,1506.24,3488.0,2012,1077
12,1679.28,3473.0,2012,1074
13,1420.08,3524.0,1997,505
14,1628.16,3622.0,1997,518
15,1710.48,3743.0,1997,534
16,1751.7599999999998,3807.0,1997,543
17,1728.72,3810.0,1997,543
18,1550.6399999999999,3906.0,1997,559
19,1815.3600000000001,3899.0,1997,555
20,1623.12,3907.0,1997,557
21,1865.28,3786.0,1997,539
22,1992.0,3699.0,1997,526
23,1995.12,3648.0,1997,519
24,2073.84,3637.0,1997,516
25,2005.92,3594.0,1997,510
26,2053.2,3524.0,2070,501
27,2059.92,3480.0,2070,1073
28,2124.96,3575.0,2070,507
29,2058.48,3651.0,2070,519
30,2083.92,3682.0,2070,522
31,2199.6000000000004,3684.0,2070,523
32,2178.2400000000002,3638.0,2070,516
33,2158.56,3554.0,2070,505
34,2111.04,3523.0,2070,501
35,2107.92,3533.0,2070,503
36,1824.0,2694.96,2070,505
37,1918.56,3526.0,2070,502
38,1819.1999999999998,3467.0,2070,1072
39,1912.56,3355.0,2070,1056
40,1663.44,3285.0,2045,1049
41,1721.7599999999998,3274.0,2045,1046
42,1529.04,3353.0,2045,1058
43,1597.6799999999998,3372.0,2045,1060
44,1319.52,3332.0,2045,1057
45,1418.6399999999999,3297.0,2045,1051
46,1494.0,3308.0,2045,1052
47,1443.3600000000001,2459.36,2045,1042
48,1173.84,3172.0,2045,1035
49,1054.32,3158.0,2045,1035
50,1239.1200000000001,3159.0,2045,1034
51,1151.04,3112.0,2045,1032
52,1069.1999999999998,2378.04,2045,1029
1,1176.24,3157.0,1910,1033
2,1164.72,3261.0,1910,1047
3,1298.6399999999999,3268.0,1910,1047
4,1302.24,3290.0,1910,1050
5,1357.1999999999998,3360.0,1910,1062
6,1152.48,2590.84,1910,1070
7,1087.68,3510.0,1910,505
8,1374.0,3555.0,1910,510
9,1463.04,3630.0,1910,521
10,1410.24,3669.0,1910,526
11,1553.7599999999998,3734.0,1910,534
12,1582.3200000000002,3787.0,1910,541
13,1622.6399999999999,3845.0,1910,549
14,1690.3200000000002,3891.0,1857,556
15,1657.6799999999998,3891.0,1857,555
16,1602.2400000000002,3877.0,1857,553
17,1613.52,3814.0,1857,544
18,1813.1999999999998,3749.0,1857,535
19,1770.48,3688.0,1857,526
20,1687.92,3630.0,1857,518
21,1853.28,3561.0,1857,507
22,1870.8000000000002,3501.0,1857,1077
23,1879.1999999999998,3452.0,1857,1071
24,1904.3999999999999,3393.0,1857,1062
25,1881.3600000000001,3346.0,1857,1055
26,2037.12,3286.0,1857,1046
27,1957.6799999999998,3227.0,1796,1039
28,1850.88,3256.0,1796,1043
29,1930.08,3311.0,1796,1050
30,1983.84,3407.0,1796,1063
31,2066.64,3417.0,1796,1065
32,2041.1999999999998,3494.0,1796,1075
